,Market_ID,Market_Name,Market_URL,Contract_ID,Contract_Name,bestBuyYesCost,bestBuyNoCost,BestSellYesCost,BestSellNoCost,Time_Stamp,Status
0,2721,Which party will win the 2020 U.S. presidential election?,https://www.predictit.org/markets/detail/2721/Which-party-will-win-the-2020-US-presidential-election,4391,Green,0.01,0,0,0.99,09/05/2020 23:53:18,Open
1,2721,Which party will win the 2020 U.S. presidential election?,https://www.predictit.org/markets/detail/2721/Which-party-will-win-the-2020-US-presidential-election,4391,Green,0.01,0,0,0.99,09/07/2020 11:20:42,Open
2,2721,Which party will win the 2020 U.S. presidential election?,https://www.predictit.org/markets/detail/2721/Which-party-will-win-the-2020-US-presidential-election,4391,Green,0.01,0,0,0.99,09/07/2020 13:59:01,Open
3,2721,Which party will win the 2020 U.S. presidential election?,https://www.predictit.org/markets/detail/2721/Which-party-will-win-the-2020-US-presidential-election,4391,Green,0.01,0,0,0.99,09/07/2020 14:03:30,Open
4,2721,Which party will win the 2020 U.S. presidential election?,https://www.predictit.org/markets/detail/2721/Which-party-will-win-the-2020-US-presidential-election,4391,Green,0.01,0,0,0.99,09/07/2020 14:13:28,Open
5,2721,Which party will win the 2020 U.S. presidential election?,https://www.predictit.org/markets/detail/2721/Which-party-will-win-the-2020-US-presidential-election,4391,Green,0.01,0,0,0.99,09/07/2020 16:21:00,Open
6,2721,Which party will win the 2020 U.S. presidential election?,https://www.predictit.org/markets/detail/2721/Which-party-will-win-the-2020-US-presidential-election,4391,Green,0.01,0,0,0.99,09/07/2020 16:52:17,Open
7,2721,Which party will win the 2020 U.S. presidential election?,https://www.predictit.org/markets/detail/2721/Which-party-will-win-the-2020-US-presidential-election,4391,Green,0.01,0,0,0.99,09/07/2020 20:14:07,Open
8,2721,Which party will win the 2020 U.S. presidential election?,https://www.predictit.org/markets/detail/2721/Which-party-will-win-the-2020-US-presidential-election,4391,Green,0.01,0,0,0.99,09/07/2020 20:15:44,Open
9,2721,Which party will win the 2020 U.S. presidential election?,https://www.predictit.org/markets/detail/2721/Which-party-will-win-the-2020-US-presidential-election,4391,Green,0.01,0,0,0.99,09/07/2020 20:17:58,Open
10,2721,Which party will win the 2020 U.S. presidential election?,https://www.predictit.org/markets/detail/2721/Which-party-will-win-the-2020-US-presidential-election,4391,Green,0.01,0,0,0.99,09/07/2020 20:18:29,Open
11,2721,Which party will win the 2020 U.S. presidential election?,https://www.predictit.org/markets/detail/2721/Which-party-will-win-the-2020-US-presidential-election,4391,Green,0.01,0,0,0.99,09/07/2020 20:25:28,Open
12,2721,Which party will win the 2020 U.S. presidential election?,https://www.predictit.org/markets/detail/2721/Which-party-will-win-the-2020-US-presidential-election,4391,Green,0.01,0,0,0.99,09/07/2020 20:39:10,Open
13,2721,Which party will win the 2020 U.S. presidential election?,https://www.predictit.org/markets/detail/2721/Which-party-will-win-the-2020-US-presidential-election,4391,Green,0.01,0,0,0.99,09/07/2020 20:59:06,Open
14,2721,Which party will win the 2020 U.S. presidential election?,https://www.predictit.org/markets/detail/2721/Which-party-will-win-the-2020-US-presidential-election,4391,Green,0.01,0,0,0.99,09/07/2020 21:06:59,Open
15,2721,Which party will win the 2020 U.S. presidential election?,https://www.predictit.org/markets/detail/2721/Which-party-will-win-the-2020-US-presidential-election,4391,Green,0.01,0,0,0.99,09/07/2020 21:15:01,Open
16,2721,Which party will win the 2020 U.S. presidential election?,https://www.predictit.org/markets/detail/2721/Which-party-will-win-the-2020-US-presidential-election,4391,Green,0.01,0,0,0.99,09/07/2020 21:32:52,Open
17,2721,Which party will win the 2020 U.S. presidential election?,https://www.predictit.org/markets/detail/2721/Which-party-will-win-the-2020-US-presidential-election,4391,Green,0.01,0,0,0.99,09/07/2020 21:41:25,Open
18,2721,Which party will win the 2020 U.S. presidential election?,https://www.predictit.org/markets/detail/2721/Which-party-will-win-the-2020-US-presidential-election,4391,Green,0.01,0,0,0.99,09/07/2020 21:42:26,Open
19,2721,Which party will win the 2020 U.S. presidential election?,https://www.predictit.org/markets/detail/2721/Which-party-will-win-the-2020-US-presidential-election,4391,Green,0.01,0,0,0.99,09/07/2020 21:43:26,Open
