,Market_ID,Market_Name,Market_URL,Contract_ID,Contract_Name,bestBuyYesCost,bestBuyNoCost,BestSellYesCost,BestSellNoCost,Time_Stamp,Status
0,6593,Which party will win Maryland in the 2020 presidential election?,https://www.predictit.org/markets/detail/6593/Which-party-will-win-Maryland-in-the-2020-presidential-election,22097,Republican,0.05,0.97,0.03,0.95,09/05/2020 23:53:18,Open
1,6593,Which party will win Maryland in the 2020 presidential election?,https://www.predictit.org/markets/detail/6593/Which-party-will-win-Maryland-in-the-2020-presidential-election,22097,Republican,0.05,0.97,0.03,0.95,09/07/2020 11:20:42,Open
2,6593,Which party will win Maryland in the 2020 presidential election?,https://www.predictit.org/markets/detail/6593/Which-party-will-win-Maryland-in-the-2020-presidential-election,22097,Republican,0.05,0.97,0.03,0.95,09/07/2020 13:59:01,Open
3,6593,Which party will win Maryland in the 2020 presidential election?,https://www.predictit.org/markets/detail/6593/Which-party-will-win-Maryland-in-the-2020-presidential-election,22097,Republican,0.05,0.97,0.03,0.95,09/07/2020 14:03:30,Open
4,6593,Which party will win Maryland in the 2020 presidential election?,https://www.predictit.org/markets/detail/6593/Which-party-will-win-Maryland-in-the-2020-presidential-election,22097,Republican,0.05,0.97,0.03,0.95,09/07/2020 14:13:28,Open
5,6593,Which party will win Maryland in the 2020 presidential election?,https://www.predictit.org/markets/detail/6593/Which-party-will-win-Maryland-in-the-2020-presidential-election,22097,Republican,0.05,0.96,0.04,0.95,09/07/2020 16:21:00,Open
6,6593,Which party will win Maryland in the 2020 presidential election?,https://www.predictit.org/markets/detail/6593/Which-party-will-win-Maryland-in-the-2020-presidential-election,22097,Republican,0.05,0.96,0.04,0.95,09/07/2020 16:52:17,Open
7,6593,Which party will win Maryland in the 2020 presidential election?,https://www.predictit.org/markets/detail/6593/Which-party-will-win-Maryland-in-the-2020-presidential-election,22097,Republican,0.05,0.96,0.04,0.95,09/07/2020 20:14:07,Open
8,6593,Which party will win Maryland in the 2020 presidential election?,https://www.predictit.org/markets/detail/6593/Which-party-will-win-Maryland-in-the-2020-presidential-election,22097,Republican,0.05,0.96,0.04,0.95,09/07/2020 20:15:44,Open
9,6593,Which party will win Maryland in the 2020 presidential election?,https://www.predictit.org/markets/detail/6593/Which-party-will-win-Maryland-in-the-2020-presidential-election,22097,Republican,0.05,0.96,0.04,0.95,09/07/2020 20:18:29,Open
10,6593,Which party will win Maryland in the 2020 presidential election?,https://www.predictit.org/markets/detail/6593/Which-party-will-win-Maryland-in-the-2020-presidential-election,22097,Republican,0.05,0.96,0.04,0.95,09/07/2020 20:25:28,Open
11,6593,Which party will win Maryland in the 2020 presidential election?,https://www.predictit.org/markets/detail/6593/Which-party-will-win-Maryland-in-the-2020-presidential-election,22097,Republican,0.05,0.96,0.04,0.95,09/07/2020 20:39:10,Open
12,6593,Which party will win Maryland in the 2020 presidential election?,https://www.predictit.org/markets/detail/6593/Which-party-will-win-Maryland-in-the-2020-presidential-election,22097,Republican,0.05,0.96,0.04,0.95,09/07/2020 20:59:06,Open
13,6593,Which party will win Maryland in the 2020 presidential election?,https://www.predictit.org/markets/detail/6593/Which-party-will-win-Maryland-in-the-2020-presidential-election,22097,Republican,0.05,0.96,0.04,0.95,09/07/2020 21:06:59,Open
14,6593,Which party will win Maryland in the 2020 presidential election?,https://www.predictit.org/markets/detail/6593/Which-party-will-win-Maryland-in-the-2020-presidential-election,22097,Republican,0.05,0.96,0.04,0.95,09/07/2020 21:15:01,Open
15,6593,Which party will win Maryland in the 2020 presidential election?,https://www.predictit.org/markets/detail/6593/Which-party-will-win-Maryland-in-the-2020-presidential-election,22097,Republican,0.05,0.96,0.04,0.95,09/07/2020 21:32:52,Open
16,6593,Which party will win Maryland in the 2020 presidential election?,https://www.predictit.org/markets/detail/6593/Which-party-will-win-Maryland-in-the-2020-presidential-election,22097,Republican,0.05,0.96,0.04,0.95,09/07/2020 21:41:25,Open
17,6593,Which party will win Maryland in the 2020 presidential election?,https://www.predictit.org/markets/detail/6593/Which-party-will-win-Maryland-in-the-2020-presidential-election,22097,Republican,0.05,0.96,0.04,0.95,09/07/2020 21:42:26,Open
18,6593,Which party will win Maryland in the 2020 presidential election?,https://www.predictit.org/markets/detail/6593/Which-party-will-win-Maryland-in-the-2020-presidential-election,22097,Republican,0.05,0.96,0.04,0.95,09/07/2020 21:43:26,Open
19,6593,Which party will win Maryland in the 2020 presidential election?,https://www.predictit.org/markets/detail/6593/Which-party-will-win-Maryland-in-the-2020-presidential-election,22097,Republican,0.05,0.96,0.04,0.95,09/07/2020 21:44:27,Open
20,6593,Which party will win Maryland in the 2020 presidential election?,https://www.predictit.org/markets/detail/6593/Which-party-will-win-Maryland-in-the-2020-presidential-election,22097,Republican,0.05,0.96,0.04,0.95,09/07/2020 21:45:28,Open
21,6593,Which party will win Maryland in the 2020 presidential election?,https://www.predictit.org/markets/detail/6593/Which-party-will-win-Maryland-in-the-2020-presidential-election,22097,Republican,0.05,0.96,0.04,0.95,09/07/2020 21:46:29,Open
22,6593,Which party will win Maryland in the 2020 presidential election?,https://www.predictit.org/markets/detail/6593/Which-party-will-win-Maryland-in-the-2020-presidential-election,22097,Republican,0.05,0.96,0.04,0.95,09/07/2020 21:47:31,Open
23,6593,Which party will win Maryland in the 2020 presidential election?,https://www.predictit.org/markets/detail/6593/Which-party-will-win-Maryland-in-the-2020-presidential-election,22097,Republican,0.05,0.96,0.04,0.95,09/07/2020 21:48:43,Open
24,6593,Which party will win Maryland in the 2020 presidential election?,https://www.predictit.org/markets/detail/6593/Which-party-will-win-Maryland-in-the-2020-presidential-election,22097,Republican,0.05,0.96,0.04,0.95,09/07/2020 21:49:44,Open
