,Market_ID,Market_Name,Market_URL,Contract_ID,Contract_Name,bestBuyYesCost,bestBuyNoCost,BestSellYesCost,BestSellNoCost,Time_Stamp,Status
0,5158,Will Donald Trump complete his first term?,https://www.predictit.org/markets/detail/5158/Will-Donald-Trump-complete-his-first-term,13817,Will Donald Trump complete his first term?,0.87,0.14,0.86,0.13,09/05/2020 23:53:18,Open
1,5158,Will Donald Trump complete his first term?,https://www.predictit.org/markets/detail/5158/Will-Donald-Trump-complete-his-first-term,13817,Will Donald Trump complete his first term?,0.87,0.14,0.86,0.13,09/07/2020 11:20:42,Open
2,5158,Will Donald Trump complete his first term?,https://www.predictit.org/markets/detail/5158/Will-Donald-Trump-complete-his-first-term,13817,Will Donald Trump complete his first term?,0.87,0.14,0.86,0.13,09/07/2020 13:59:01,Open
3,5158,Will Donald Trump complete his first term?,https://www.predictit.org/markets/detail/5158/Will-Donald-Trump-complete-his-first-term,13817,Will Donald Trump complete his first term?,0.87,0.14,0.86,0.13,09/07/2020 14:03:30,Open
4,5158,Will Donald Trump complete his first term?,https://www.predictit.org/markets/detail/5158/Will-Donald-Trump-complete-his-first-term,13817,Will Donald Trump complete his first term?,0.87,0.14,0.86,0.13,09/07/2020 14:13:28,Open
5,5158,Will Donald Trump complete his first term?,https://www.predictit.org/markets/detail/5158/Will-Donald-Trump-complete-his-first-term,13817,Will Donald Trump complete his first term?,0.88,0.13,0.87,0.12,09/07/2020 16:21:00,Open
6,5158,Will Donald Trump complete his first term?,https://www.predictit.org/markets/detail/5158/Will-Donald-Trump-complete-his-first-term,13817,Will Donald Trump complete his first term?,0.88,0.13,0.87,0.12,09/07/2020 16:52:17,Open
7,5158,Will Donald Trump complete his first term?,https://www.predictit.org/markets/detail/5158/Will-Donald-Trump-complete-his-first-term,13817,Will Donald Trump complete his first term?,0.88,0.13,0.87,0.12,09/07/2020 20:14:07,Open
8,5158,Will Donald Trump complete his first term?,https://www.predictit.org/markets/detail/5158/Will-Donald-Trump-complete-his-first-term,13817,Will Donald Trump complete his first term?,0.88,0.13,0.87,0.12,09/07/2020 20:15:44,Open
9,5158,Will Donald Trump complete his first term?,https://www.predictit.org/markets/detail/5158/Will-Donald-Trump-complete-his-first-term,13817,Will Donald Trump complete his first term?,0.88,0.13,0.87,0.12,09/07/2020 20:18:29,Open
10,5158,Will Donald Trump complete his first term?,https://www.predictit.org/markets/detail/5158/Will-Donald-Trump-complete-his-first-term,13817,Will Donald Trump complete his first term?,0.88,0.13,0.87,0.12,09/07/2020 20:25:28,Open
11,5158,Will Donald Trump complete his first term?,https://www.predictit.org/markets/detail/5158/Will-Donald-Trump-complete-his-first-term,13817,Will Donald Trump complete his first term?,0.88,0.13,0.87,0.12,09/07/2020 20:39:10,Open
12,5158,Will Donald Trump complete his first term?,https://www.predictit.org/markets/detail/5158/Will-Donald-Trump-complete-his-first-term,13817,Will Donald Trump complete his first term?,0.88,0.13,0.87,0.12,09/07/2020 20:59:06,Open
13,5158,Will Donald Trump complete his first term?,https://www.predictit.org/markets/detail/5158/Will-Donald-Trump-complete-his-first-term,13817,Will Donald Trump complete his first term?,0.88,0.13,0.87,0.12,09/07/2020 21:06:59,Open
